CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
26,2.8333,99.1667,0.8333,0.8333,14338.0501,2.5005,1,1.0783,1.1533,85315584,2723499349,9,8,10.8333,0,883152.6573,890422.4416,WSK
1,1,1,1,0.3333,12288,2,0,0,0.055,7116675072,7932639232,8.7667,7.6667,10,0,912396.9,921467.4,NTS
1,1,1,1,1,2121745.186,30.5952,0.0133,0.02,0.07,363989674.7,7850786133,8.9667,7.6667,12.1667,0,912549.2,921727.1,TWM
1,1,1,1,1,16384,3,0.0017,0.0933,0.1383,7115409408,7931751765,10.1333,7.8333,14.3333,0,912258.045,921472,NTS
1,1,1,1,1,2108755.283,30.4004,0,0.0183,0.08,5118121301,7849041920,8.7,7.8333,10.6667,0,918796.5005,926697.8719,TWM
1,1,1,1,1,2024344.883,34.2012,0.0467,0.0117,0.0283,1800505344,7850612736,8.8333,7.6667,11.6667,0,923540.3766,931932.9132,TWM
1,1,1,1,1,15149.8699,2.6987,0,0,0.03,91246592,7851675648,18.3667,8.1667,30.3333,0,912113,921514,NTS
2.1667,3,1.1667,1,4.8333,85606.4,12.3,0.0117,0.035,0.1083,6981677056,7880437760,8.2,7.1667,11.1667,0,915519.0838,921459.064,TVM
2.3333,1.6667,1.8333,1.3333,5.3333,138854.4,18.2,0.37,0.2067,0.2033,6909331456,7856567637,9.8667,7.6667,15,0,923686.4234,931916,TVM
1,1,1,1,1,2136553.962,35.4004,0,0.01,0.06,6380226560,7855011157,8.4667,7.3333,10.3333,0,918919.3213,926727.8719,TWM
1,1,1,1,1,2015232,33.4,0,0,0.02,560939008,7852087979,8.7,7.5,11.8333,0,912689.6147,921660.7108,TWM
26,1,100,1,1,16384,3,1,1,1,69859328,1544652800,8.8333,8,10,0,912843.3473,921630.3664,WSK
1.1667,1,1.1667,1,2,2132785.97,33,0.0583,0.15,0.1917,72929280,7807120043,10.9333,7.8333,19.1667,0,912895.6,921656.8,TSK
1,1,1,1,1.3333,86835.2,17.2,0.055,0.0567,0.1067,7085303808,7923247104,10.1333,7.6667,14,0,918585.709,922622.9216,NTS
1,1,1,1,0.3333,16384,3,0,0,0.01,6933696512,7876082347,23.5667,8.6667,48,0,920592.3004,929654.025,NTS
1.3333,1,1.3333,2,1,2114155.935,32.399,0.025,0.0683,0.14,72040448,7803800917,10.2333,8.1667,13.5,0,923487.9,931880,TSK
1,1,1,1,0.8333,7786.0901,1.6006,0,0,0.0433,7117967360,7931850752,11.7333,7.8333,20.5,0,913315.2342,922849.3045,NTS
1.1667,1,2.1667,1,1,1703111.06,32.799,0.0817,0.0367,0.065,394357418.7,7800451072,10.1333,8.1667,13.8333,0,913200.7,921646.6,TSK
2,1.1667,5.5,1,2,110592,14,0.0833,0.0783,0.1433,7002050560,7890646357,8.7333,7.1667,12.5,0,895475.0039,903323.1664,TVM
2.3333,3.1667,4.3333,1.8333,1,111411.2,14.4,0.0633,0.3133,0.4167,6916046848,7859415040,8.7667,7,11.6667,0,913085.6793,921710.536,TVM
1,1,1,1,1,303509.9099,45.3994,0.0083,0.0367,0.0883,7067627520,7926647467,10.0333,7.5,15.6667,0,913068.2275,921896.2989,NTS
2,1,2,2,1,2056305.163,34.0018,0.0767,0.0467,0.06,74762240,7809320277,11.1667,8.3333,14.8333,0,923129.778,931682.355,TSK
26,1,1,100,1,2399024.738,37.2084,1.05,1.1133,1.1383,3263746048,5977268224,8.7,7.1667,11.6667,0,882794.2425,891003.5217,WSK
1.1667,1,1,2.1667,1,2217530.939,37.1992,0.08,0.0733,0.13,648439125.3,7800689323,11.6667,7.8333,16,0,923775.1,931909.4,TSK
26,1,1,100,0.8333,20053.1623,3.5972,1.01,1.0317,1.0783,71243776,1759740587,11.1,8.1667,16.8333,0,923522.4901,932112.3888,WSK
2,1.1667,4.1667,1.6667,1.6667,146636.8,17.2,0.0483,0.1167,0.265,6953504768,7876059819,8.6333,7.3333,11.6667,0,912972.6279,921587.3211,TVM
1,1,1,1,1,16384,3,0.0083,0.0317,0.0783,6935363584,7871417003,29.7667,14,54.6667,0,912835.1433,922208.0573,NTS
4.2857,8.1429,2.8571,4.1429,2,4165606.4,36.275,0.22,0.195,0.18,1012756480,7851457877,506.7,131.1667,1097.6667,0,1632071.284,887106.8604,TWM
1.5,1,2,1,1,2122019.107,72.8979,0,0,0,5414930432,7884983637,9.7333,7.6667,15.8333,0,923545.1886,932150.7912,TWM
1,1,1,1,1,135565.312,25.398,0.015,0.03,0.015,7046213632,7908840789,10.5,8,15.5,0,914818.1901,922843.9937,NTS
2,2,1,2,1,2070665.081,32.3972,0.1367,0.0667,0.0683,74158080,7803968171,9.1667,7.6667,11.6667,0,923304.9204,931661.9267,TSK
1,1,1,1,1,16384,3,0.0033,0.1017,0.1433,6942922752,7890642944,11,7.8333,17.5,0,911920.627,921358.0565,NTS
26,97.5,3.5,0.1667,1,289154.6394,7.8951,1.08,1.0367,1.085,85000192,2461580629,11.2,8.5,14.8333,0,923336.9796,931971.9888,WSK
1,1,1,1,1,15153.97,2.6997,0.0133,0.04,0.0833,7065346048,7924879360,10.7,7.8333,17.5,0,912518.3514,921684.8378,NTS
1,1,1,1,1,16384,3,0,0.1,0.1333,7085303808,7924176896,8.6,7.8333,9.3333,0,922424.7,931854.2,NTS
2.5,1.3333,4.5,4.1667,0.5,111404.6333,11.7996,0.2983,0.5917,0.6583,7038140416,7890238123,14.1,7.5,25.8333,0,913017.2247,921411.0881,TVM
1,1,1,1,1,2102888.04,29,0.0433,0.03,0.0417,5931044864,7850205867,8.2,7.8333,8.8333,0,923855.7638,932078.2058,TWM
2.3333,1.6667,1.6667,1,5.6667,88001.0475,9.9944,0.0267,0.06,0.145,6997262336,7887942315,9.5333,7.3333,14.3333,0,913248.7477,921683.8378,TVM
3,2.6667,2,4.5,2.3333,69628.3099,8.0997,0.1167,0.0717,0.1417,6979346432,7880320341,9.7667,7.6667,15.8333,0,924069.5038,929702.0571,TVM
26,2,1,100,0.5,2205681.65,32.998,1.0583,1.025,1.0883,145177258.7,3293459115,9.2,8,11.6667,0,923122.3724,931830.7748,WSK
1,1,1,1,0.3333,16384,3,0,0.0717,0.1233,7068593493,7926044672,9.1,7.5,11.3333,0,912064.2,921472,NTS
1,1,1,1,1,16384,3,0.0617,0.0267,0.055,7116115968,7932093781,9.4,7.3333,12.8333,0,912212.2369,921262.7559,NTS
26,1,1,100,1,2138921.36,35.1984,1,1.0483,1.1117,266952704,3100411904,9.1333,7.6667,10.6667,0,913759.7457,921469.7923,WSK
1.3333,1.3333,1,2,1,1959327.135,32.7988,0.055,0.07,0.1183,3005640704,7804880213,8.6333,7.6667,10.8333,0,923644.5,931897.4,TSK
1,1,1,1,0.8333,2097137.264,30.9976,0,0.01,0.04,4490754048,7849999019,8.8667,7.5,11.1667,0,917717,926790,TWM
26,1,100,1,1.6667,9794.4271,1.7934,1,1.0633,1.1583,72697173.33,2350854827,9.3667,8.1667,11.6667,0,924192.8297,932061.1119,WSK
1,1,1,1,1,7782.4,1.6,0.03,0.015,0.0117,7118997504,7934523392,9.3,7.8333,12.3333,0,912969.0468,921636.373,NTS
1,1,1,1,1,7794.688,1.602,0.015,0.13,0.1567,7116414976,7930155008,11.8333,8,20,0,912784.5685,921387.4649,NTS
26.1667,5,23.6667,73.3333,3.1667,2118687.45,33.4889,0.7967,0.3183,0.21,4021729963,6691862528,16.9667,10,26.3333,0,923255.2903,931802,TWM
1,1,1,1,1,16384,3,0,0.0471,0.1129,7117361152,7931639125,9.3,7.6667,12.8333,0,912294.7,921523,NTS
1.3333,1,1.5,1.8333,1,2541151.02,35.9992,0,0.0567,0.125,74204501.33,7802793984,9.3333,8,12,0,916047.3604,924668.8769,TSK
26,1,100,1,1,2215950.35,33.002,1.005,1.01,1,3388398933,5389488128,12.0333,7.8333,20.1667,0,918167.9207,927580.7862,WSK
1,1,1,1,0,1875977.84,37.0016,0.015,0.095,0.11,4515000320,7849059669,8.7333,7.5,10.6667,0,913666.046,922040.042,TWM
1,1,1,1,1,7794.688,1.602,0.015,0.0333,0.06,7085633536,7924142080,8.7,7.3333,11.5,0,921359.2973,930652.6306,NTS
26,1,100,1,1,2287430.266,32.0036,1,1,1.02,2404780715,5385263104,7.9667,7.1667,9,0,916925.7998,924677.1912,WSK
1,1,1,1,1,12693.9099,2.3994,0,0,0.01,7117971456,7931895808,9.7667,8,13.3333,0,912201.5685,921429.4649,NTS
1,1,1,1,0.3333,46912.255,9.5976,0.015,0.15,0.2133,6934878208,7876593664,22.0333,8.6667,45.5,0,922456.4925,931718,NTS
1.5,1,1.5,2,1,1394497.345,32.2012,0.0083,0.045,0.0833,72747008,7804233728,11.9,8.3333,17.3333,0,923304.6375,931852.0982,TSK
2.3333,5.1667,2.6667,1,1.1667,95027.2,11.6,0,0.0467,0.2133,6965276672,7877494101,8.9333,7.8333,11.1667,0,922822.9811,931729.9865,TVM
2.8333,2.3333,1.8333,5.6667,1,107320.1201,12.2012,0.0583,0.1067,0.2683,6909591552,7855714987,8.8667,7.3333,12.1667,0,923381.5761,931850.3534,TVM
1,1,1,1,1,2163507.2,31.4,0.02,0.015,0.0117,70745429.33,7850200405,8.4667,7.5,10,0,912912.2,921669.4,TWM
1.1667,1.3333,1,1.3333,1,16384,3,0.0717,0.1833,0.1717,7067242496,7926175061,10.2667,8.1667,15.6667,0,912661.6,921509.8,NTS
16.8333,8.8333,4.6667,51.1667,2.8333,2230745.562,36.9895,0.6117,0.81,0.8717,4934677163,6494371840,8.4667,7.1667,10.8333,0,923930.4,931818.8,WSK
3,1.6667,3,3.3333,3.5,136816.2402,19.9009,0.1617,0.3683,0.455,6908196864,7856347819,8.7333,7.1667,13.3333,0,924877.682,931701.5009,TVM
1,1,1,1,1,2331546.523,34.002,0,0.01,0.0683,5947740160,7849319765,8.4333,7.6667,9.3333,0,912614.1552,921387.7928,TWM
3.3333,2.1667,2.8333,3.8333,4.3333,118382.993,14.3007,0.1567,0.1217,0.2717,6991118336,7882917888,13.3333,8,22.5,0,913140.9523,921477.5865,TVM
1.8333,1.8333,1,1.3333,1.6667,2216066.532,34.3881,0.125,0.13,0.1517,71411029.33,7806167723,10.0333,8.1667,14.5,0,913530.4993,921551.0302,TSK
26,1,1,1,100,16384,3,1.0117,1.03,1.07,795957930.7,3743182848,9.2667,7.8333,13,0,922429,931760,WSK
26,1,100,1,1,16384,3,1,1,1.0517,1165749589,4005487957,9.3,8.3333,11.5,0,902094.4258,911225.8342,WSK
1.8333,1,1,2.1667,1.8333,2123800.128,32.2044,0.0467,0.0567,0.1183,71004160,7806089899,10.1,8.6667,12.3333,0,924499.227,931931.3682,TSK
1,1,1,1,1,2110139.399,32.5908,0,0.0683,0.1217,5749839872,7850791595,9.0333,7.3333,12.3333,0,918367.2683,926802.7402,TWM
1.1667,1.3333,1,2.1667,1.1667,1904020.885,35.6006,0.145,0.2033,0.18,73355264,7803120981,10.6,8,15.8333,0,888632.0931,897059.2613,TSK
31,22.3333,1,1,100,4898981.51,39.6435,1.5929,1.5457,1.3843,70981632,1138518016,481.5667,273.6667,755.1667,0,1761647.414,886358.227,WSK
2,2,1,5.3333,1,137625.6,19.5,0,0.1067,0.3,6930198528,7867512832,10.0667,7.1667,14.8333,0,914084.227,922518.955,TVM
26.5,3.1667,54,1,47.5,6144,1,1.1083,1.2,1.1867,840153088,3771333291,9.0333,7.6667,10.6667,0,912047.5343,921339.5451,WSK
1,1,1,1,1,2101252.92,32.4008,0,0,0.04,70768640,7850250240,8.6667,7.3333,10.8333,0,912622.0129,921590.5159,TWM
2,3.6667,3.8333,1.1667,1,100352,15.2,0.1217,0.3783,0.4417,6966093824,7877892779,9.1,7.3333,13.3333,0,921120.3968,929718.9268,TVM
1.5,1.5,1,1.3333,1.6667,2139956.225,34.602,0.0133,0.0433,0.0867,74141696,7802281301,9.6667,7.5,14.5,0,926073.7177,934872.5847,TSK
1.3333,1.3333,1,2,1,2148761.6,35.2,0.1033,0.0983,0.09,71637674.67,7803787264,8.9,7.8333,10.6667,0,913824.8348,921657.5384,TSK
4.6667,9.3333,3.8333,2.5,3.5,4430714.219,36.4782,0.3233,0.275,0.2183,6177873237,7847447893,393.2,185.6667,762.6667,0,1981401.072,890284.5491,TWM
1,1,1,0.8333,1,1678530.96,32.1984,0.0383,0.0217,0,2405380096,7852139861,8.7333,7.6667,11,0,913572.5,921571,TWM
1,1,1,1,0.6667,2121737.84,34.0016,0,0.0267,0.07,4504475648,7848217259,9.4667,8.1667,13,0,923663.521,932043.2297,TWM
1,1,1,1,1,2744203.533,33.602,0,0,0.0483,5729013760,7849390763,8.6333,8,10,0,912829.8208,921640.495,TWM
1,1,1,1,1,16384,3,0,0,0.02,7069573120,7927174485,15.2667,7.6667,41,0,922092.1604,931555.3144,NTS
1.3333,1,2,1.3333,1,1611366.4,41.8,0.1133,0.06,0.0783,1569921024,7807211520,8.8667,7.8333,10.3333,0,923141.6523,931737.0871,TSK
1,1,1,1,1,2232315.08,32.9992,0.0033,0.0417,0.0933,1411100672,7852838229,8.2667,7.5,9.6667,0,923734.3033,931807.1144,TWM
26,1,1,100,1,2154505.84,38.0016,1.0667,1.145,1.265,74253653.33,2624836949,9.5667,8.3333,11.6667,0,919204.9209,926673.8719,WSK
1,1,1,1,1,16384,3,0.0183,0.0483,0.09,7083884544,7922829995,8.8667,7.8333,10.6667,0,912023.8018,921383.464,NTS
1.6667,1,1,2,1.6667,1653020.162,33.799,0.13,0.2583,0.2567,71747584,7806927531,9.0333,8,11.5,0,922764.5738,931802.8208,TSK
3,3,3.8333,2.8333,2.1667,145815.96,18,0.28,0.2717,0.3267,7001858048,7885745493,14.9,7.8333,31.3333,0,913159.357,921569.512,TVM
4.2857,8,3.8571,2.5714,2.7143,3539620.159,33.3562,0.2133,0.275,0.2267,394153984,7849772373,580.0333,218.3333,947,0,1740703.216,912296.5689,TWM
3.5,2.8333,4.5,2.5,3.3333,101551.2793,12,0.0483,0.135,0.3267,7044055040,7892799488,14.4,7.8333,27.8333,0,923316.411,931895.788,TVM
1,1,1,1,1,7789.7876,1.6012,0.095,0.1967,0.1683,7063967744,7923927040,8.9667,7.6667,11.3333,0,922389.018,931616.508,NTS
24.3333,1,2,92.1667,2.1667,1658898.451,34.002,0.8533,0.9983,1.0767,4103845888,5906455211,29.8333,8,114.3333,0,916972.1069,925777.2372,WSK
26,1,1,1,100,1741661.884,30.996,1.0333,1.08,1.1067,815162709.3,3754456405,12.2667,7.8333,18,0,912514.4,921488.8,WSK
1.6667,1.8333,1,1.1667,1.6667,2129281.219,32.8294,0.0317,0.0533,0.08,3666991104,7805734912,8.8333,7.8333,11.8333,0,918093.7,928698.2,TSK
2,5.1667,1,1.8333,1.6667,105253.6697,14.7988,0.1133,0.13,0.2467,6916276224,7859831467,9.0667,7.3333,12,0,913221.3,921575.8,TVM
1,1,1,1,1,16384,3,0,0.0217,0.0833,6978934784,7887744341,9.3667,8,11.6667,0,922809.6,931718,NTS
26,1,45.1667,1,55.8333,2308077.55,32.998,1,1,1.0817,694643370.7,3680955733,10,8.1667,13.1667,0,922954.1982,931698.2342,WSK
26,1,1,1,100,2301386.211,35.5065,1.035,1.1417,1.1667,3382177792,5403293013,9.9667,7.6667,14.6667,0,917568.1147,925970.4937,WSK
1,1,1,1,1,13516.8,2.3,0,0,0.01,7114643456,7932106752,9.8333,7.8333,14.1667,0,912328.3946,921392.0649,NTS
26,1,2,1,100,9011.2,1.8,1.0767,1.2783,1.3033,116807680,1968324608,10.4667,8.5,15,0,923005.046,931829.042,WSK
1.5,1,1.6667,1.8333,1,2136881.97,33,0.2117,0.17,0.1733,71969450.67,7806431915,9.3,7.8333,11.5,0,923535.9421,931790.2486,TSK
26,1.1667,100,1,1,2162647.04,34.992,1.0767,1.04,1.07,72527189.33,1509593088,8.7,7.8333,10.3333,0,923955.5952,931763.0066,WSK
1,1,1,1,1,7794.688,1.602,0.0183,0.135,0.1567,7070827861,7926699349,11.2667,8,21.3333,0,912458.2162,921551.8378,NTS
26,1,100,2,1,14743.96,2.5996,1.2217,1.1383,1.1667,344446976,3176221355,9.6667,8.5,11.8333,0,918131.1021,926747.1491,WSK
31,22.1667,1,100,0.8333,16384,3,1.0817,1.3383,1.34,184641536,3333175296,317,158.5714,680.7143,0,1683279.768,881471.4916,WSK
